Nazwa Planety,Gospodarz Planety,Metoda Odkrycia,Instytucja Odkrywająca,Typ Spektralny,Stosunek Metaliczności Gwiazdy,Nr,Liczba Gwiazd,Liczba Planet,Rok Odkrycia,Okres Orbitalny (dni),Pół Oś Orbity,Masa,Mimośród,Strumień Insolacji,Temperatura Równowagi,Efektywna Temperatura Gwiazdy,Promień Gwiazdy,Masa Gwiazdy,Metaliczność Gwiazdy,Grawitacja Powierzchniowa Gwiazdy,Odległość,Wielkość Magnitudo (Gaia)
Kepler-836 b,Kepler-836,Transit,Kepler,,[Fe/H],3799,1,1,2016,11.36112327,,,,,,5895.0,1.04,1.03,-0.01,4.41,980.035,14.5873
Kepler-837 b,Kepler-837,Transit,Kepler,,[Fe/H],3800,1,1,2016,16.56059504,,,,,,5403.0,0.81,0.85,-0.18,4.56,901.907,15.229
Kepler-838 b,Kepler-838,Transit,Kepler,,[Fe/H],3801,1,1,2016,15.74957994,,,,,,5770.0,0.96,0.98,-0.06,4.46,1104.04,15.2295
Kepler-839 b,Kepler-839,Transit,Kepler,,[Fe/H],3802,1,1,2016,37.8144514,,,,,,6058.0,1.31,1.22,0.29,4.29,944.561,13.5633
Kepler-84 b,Kepler-84,Transit,Kepler,,,3803,1,5,2012,8.726,,,,,,,1.43,1.0,,4.13,1023.9,14.7902
Kepler-84 c,Kepler-84,Transit,Kepler,,,3804,1,5,2012,12.883,,,,,,,1.43,1.0,,4.13,1023.9,14.7902
Kepler-84 d,Kepler-84,Transit,Kepler,,,3805,1,5,2014,4.224537,0.052,,,,,6031.0,1.17,,,4.32,1023.9,14.7902
Kepler-84 e,Kepler-84,Transit,Kepler,,,3806,1,5,2014,27.434389,0.181,,,,,6031.0,1.17,,,4.32,1023.9,14.7902
Kepler-84 f,Kepler-84,Transit,Kepler,,,3807,1,5,2014,44.552169,0.25,,,,,6031.0,1.17,,,4.32,1023.9,14.7902
Kepler-840 b,Kepler-840,Transit,Kepler,,[Fe/H],3808,1,1,2016,2.49577962,,,,,,5920.0,1.06,1.04,0.0,4.41,1122.19,14.1291
Kepler-841 b,Kepler-841,Transit,Kepler,,[Fe/H],3809,1,1,2016,124.4198398,,,,,,5324.0,0.81,0.85,-0.09,4.56,998.961,15.7442
Kepler-842 b,Kepler-842,Transit,Kepler,,[Fe/H],3810,1,1,2016,1.21956827,,,,,,4848.0,0.73,0.78,-0.02,4.6,532.726,15.1296
Kepler-843 b,Kepler-843,Transit,Kepler,,[Fe/H],3811,1,1,2016,2.05387982,,,,,,5830.0,1.03,1.02,0.05,4.42,1165.66,15.2481
Kepler-844 b,Kepler-844,Transit,Kepler,,[Fe/H],3812,1,1,2016,2.61302086,,,,,,4128.0,0.57,0.59,-0.24,4.7,431.776,15.7957
Kepler-845 b,Kepler-845,Transit,Kepler,,[Fe/H],3813,1,1,2016,0.92785982,,,,,,4913.0,0.75,0.79,0.01,4.59,431.051,14.6386
Kepler-846 b,Kepler-846,Transit,Kepler,,[Fe/H],3814,1,1,2016,19.80792185,,,,,,5579.0,0.91,0.94,0.0,4.5,1127.12,15.6041
Kepler-847 b,Kepler-847,Transit,Kepler,,[Fe/H],3815,1,1,2016,2.3432319,,,,,,4940.0,0.77,0.83,0.15,4.58,513.103,14.7799
Kepler-848 b,Kepler-848,Transit,Kepler,,[Fe/H],3816,1,1,2016,6.91134416,,,,,,5695.0,1.2,1.01,0.15,4.28,1378.47,14.0105
Kepler-849 b,Kepler-849,Transit,Kepler,,[Fe/H],3817,1,1,2016,394.6244904,,,,,,6059.0,1.64,1.23,0.12,4.1,822.134,12.8358
Kepler-85 b,Kepler-85,Transit,Kepler,,,3818,1,4,2012,8.306,,,,,,,1.24,0.92,,4.22,765.025,14.766
Kepler-85 c,Kepler-85,Transit,Kepler,,,3819,1,4,2012,12.513,,,,,,,1.24,0.92,,4.22,765.025,14.766
Kepler-85 d,Kepler-85,Transit,Kepler,,,3820,1,4,2014,17.91323,0.13,,,,,5436.0,0.89,,,4.49,765.025,14.766
Kepler-85 e,Kepler-85,Transit,Kepler,,,3821,1,4,2014,25.216751,0.163,,,,,5436.0,0.89,,,4.49,765.025,14.766
Kepler-850 b,Kepler-850,Transit,Kepler,,[Fe/H],3822,1,1,2016,7.19303878,,,,,,5932.0,1.09,1.06,0.03,4.39,1661.28,15.4272
Kepler-851 b,Kepler-851,Transit,Kepler,,[Fe/H],3823,1,1,2016,8.50699658,,,,,,5455.0,0.85,0.89,-0.07,4.53,839.255,15.1081
Kepler-852 b,Kepler-852,Transit,Kepler,,[Fe/H],3824,1,1,2016,44.9309804,,,,,,6100.0,1.16,1.19,0.22,4.38,1619.03,13.9066
Kepler-853 b,Kepler-853,Transit,Kepler,,[Fe/H],3825,1,1,2016,7.16892463,,,,,,6350.0,1.55,1.3,0.07,4.17,568.676,12.2485
Kepler-854 b,Kepler-854,Transit,Kepler,,[Fe/H],3826,1,1,2016,2.14463285,,,,,,6179.0,1.27,1.17,0.04,4.29,1397.04,13.5043
Kepler-855 b,Kepler-855,Transit,Kepler,,[Fe/H],3827,1,1,2016,7.8866311,,,,,,5835.0,1.03,1.03,0.06,4.42,1506.58,15.0191
Kepler-856 b,Kepler-856,Transit,Kepler,,[Fe/H],3828,1,1,2016,8.02768059,,,,,,5535.0,0.93,0.96,0.12,4.49,1351.17,15.557
Kepler-857 b,Kepler-857,Transit,Kepler,,[Fe/H],3829,1,1,2016,85.35129427,,,,,,5773.0,0.99,0.99,0.02,4.45,983.502,15.0638
Kepler-858 b,Kepler-858,Transit,Kepler,,[Fe/H],3830,1,1,2016,76.13602028,,,,,,5653.0,0.91,0.96,-0.04,4.5,298.532,12.411
Kepler-859 b,Kepler-859,Transit,Kepler,,[Fe/H],3831,1,1,2016,20.38177573,,,,,,5020.0,0.77,0.81,-0.02,4.59,839.903,15.8805
Kepler-860 b,Kepler-860,Transit,Kepler,,[Fe/H],3832,1,1,2016,5.10137945,,,,,,5836.0,1.06,1.04,0.09,4.4,1056.36,15.4033
Kepler-861 b,Kepler-861,Transit,Kepler,,[Fe/H],3833,1,1,2016,3.94963138,,,,,,5047.0,0.78,0.82,0.01,4.58,850.327,15.5958
Kepler-862 b,Kepler-862,Transit,Kepler,,[Fe/H],3834,1,1,2016,3.14866453,,,,,,5333.0,0.84,0.88,0.04,4.54,1039.03,15.3031
Kepler-863 b,Kepler-863,Transit,Kepler,,[Fe/H],3835,1,1,2016,15.59461874,,,,,,5678.0,0.95,0.96,-0.03,4.46,1499.66,15.4464
Kepler-864 b,Kepler-864,Transit,Kepler,,[Fe/H],3836,1,1,2016,5.83376092,,,,,,5754.0,1.0,1.0,0.04,4.44,2022.9,15.7816
Kepler-865 b,Kepler-865,Transit,Kepler,,[Fe/H],3837,1,1,2016,14.16399294,,,,,,5570.0,0.92,0.93,-0.01,4.49,586.137,14.5036
Kepler-866 b,Kepler-866,Transit,Kepler,,[Fe/H],3838,1,1,2016,2.61703254,,,,,,4751.0,0.71,0.75,-0.07,4.62,646.667,15.7966
Kepler-867 b,Kepler-867,Transit,Kepler,,[Fe/H],3839,1,1,2016,150.242127,,,,,,5541.0,0.91,0.92,-0.02,4.49,1195.54,14.8849
Kepler-868 b,Kepler-868,Transit,Kepler,,[Fe/H],3840,1,1,2016,5.03251791,,,,,,5614.0,0.89,0.93,-0.08,4.51,1593.13,15.6177
Kepler-869 b,Kepler-869,Transit,Kepler,,[Fe/H],3841,1,1,2016,40.4287755,,,,,,5664.0,0.95,0.97,0.02,4.47,939.455,14.9685
Kepler-87 b,Kepler-87,Transit,Kepler,,[Fe/H],3842,1,2,2013,114.73635,0.481,324.2,0.036,,478.0,5600.0,1.82,1.1,-0.17,3.96,1232.9,14.5869
Kepler-87 c,Kepler-87,Transit,Kepler,,[Fe/H],3843,1,2,2013,191.2318,0.676,6.4,0.039,,403.0,5600.0,1.82,1.1,-0.17,3.96,1232.9,14.5869
Kepler-870 b,Kepler-870,Transit,Kepler,,[Fe/H],3844,1,1,2016,21.3587621,,,,,,5857.0,1.02,1.01,-0.01,4.43,1259.46,15.2216
Kepler-871 b,Kepler-871,Transit,Kepler,,[Fe/H],3845,1,1,2016,22.0459018,,,,,,5993.0,1.14,1.11,0.09,4.37,1976.05,15.6422
Kepler-872 b,Kepler-872,Transit,Kepler,,[Fe/H],3846,1,1,2016,2.57885507,,,,,,5902.0,1.08,1.05,0.04,4.4,879.683,15.0714
Kepler-873 b,Kepler-873,Transit,Kepler,,[Fe/H],3847,1,1,2016,20.5533844,,,,,,6163.0,1.27,1.18,0.07,4.29,1182.22,14.7952
Kepler-874 b,Kepler-874,Transit,Kepler,,[Fe/H],3848,1,1,2016,40.0686727,,,,,,6020.0,1.13,1.09,0.03,4.37,1082.16,14.6941
Kepler-875 b,Kepler-875,Transit,Kepler,,[Fe/H],3849,1,1,2016,27.5073799,,,,,,5958.0,1.11,1.06,0.03,4.38,1242.62,15.2096
Kepler-876 b,Kepler-876,Transit,Kepler,,[Fe/H],3850,1,1,2016,5.14438011,,,,,,5060.0,0.77,0.81,-0.03,4.58,820.913,15.3301
Kepler-877 b,Kepler-877,Transit,Kepler,,[Fe/H],3851,1,1,2016,18.45847097,,,,,,5261.0,0.81,0.85,-0.06,4.56,602.176,14.5228
Kepler-878 b,Kepler-878,Transit,Kepler,,[Fe/H],3852,1,1,2016,25.9422033,,,,,,5044.0,0.77,0.81,-0.03,4.58,791.625,14.7898
Kepler-879 b,Kepler-879,Transit,Kepler,,[Fe/H],3853,1,1,2016,33.3855938,,,,,,5792.0,1.02,1.02,0.05,4.42,802.672,14.2377
Kepler-88 d,KOI-142,Radial Velocity,W. M. Keck Observatory,,[Fe/H],3854,1,3,2020,1403.0,,965.147,0.41,,,5466.0,0.9,0.99,0.27,,376.863,13.1048
Kepler-880 b,Kepler-880,Transit,Kepler,,[Fe/H],3855,1,1,2016,7.71468975,,,,,,6761.0,1.74,1.46,0.03,4.12,601.324,11.9642
Kepler-881 b,Kepler-881,Transit,Kepler,,[Fe/H],3856,1,1,2016,4.44448017,,,,,,5961.0,1.09,1.06,0.0,4.39,1375.18,15.1765
Kepler-882 b,Kepler-882,Transit,Kepler,,[Fe/H],3857,1,1,2016,3.98953967,,,,,,5476.0,0.87,0.9,-0.03,4.52,504.605,14.0774
Kepler-883 b,Kepler-883,Transit,Kepler,,[Fe/H],3858,1,1,2016,12.98495573,,,,,,6116.0,1.09,1.06,-0.13,4.4,627.455,13.0069
Kepler-884 b,Kepler-884,Transit,Kepler,,[Fe/H],3859,1,1,2016,5.69919514,,,,,,5715.0,0.94,1.0,0.05,4.49,476.733,13.0469
Kepler-885 b,Kepler-885,Transit,Kepler,,[Fe/H],3860,1,1,2016,18.11472949,,,,,,6187.0,1.35,1.21,0.11,4.26,651.318,12.7877
Kepler-886 b,Kepler-886,Transit,Kepler,,[Fe/H],3861,1,1,2016,6.24146367,,,,,,6098.0,1.16,1.1,-0.01,4.35,711.297,13.8936
Kepler-887 b,Kepler-887,Transit,Kepler,,[Fe/H],3862,1,2,2016,20.42228798,,,,,,6194.0,1.29,1.19,0.08,4.29,886.588,13.4496
Kepler-887 c,Kepler-887,Transit,Kepler,,[Fe/H],3863,1,2,2016,7.63846023,,,,,,6194.0,1.29,1.19,0.08,4.29,886.588,13.4496
Kepler-888 b,Kepler-888,Transit,Kepler,,[Fe/H],3864,1,1,2016,70.6979061,,,,,,5875.0,0.9,0.97,-0.21,4.52,420.817,12.9814
Kepler-889 b,Kepler-889,Transit,Kepler,,[Fe/H],3865,1,1,2016,3.744439,,,,,,5961.0,1.25,1.14,0.19,4.3,598.313,12.6802
Kepler-890 b,Kepler-890,Transit,Kepler,,[Fe/H],3866,1,1,2016,52.75875577,,,,,,5954.0,1.13,1.09,0.09,4.37,1712.12,15.1361
Kepler-891 b,Kepler-891,Transit,Kepler,,[Fe/H],3867,1,1,2016,53.44945593,,,,,,5887.0,1.07,1.06,0.09,4.41,2340.58,15.273
Kepler-892 b,Kepler-892,Transit,Kepler,,[Fe/H],3868,1,1,2016,13.7521072,,,,,,4747.0,0.72,0.75,-0.04,4.61,570.727,15.5902
Kepler-893 b,Kepler-893,Transit,Kepler,,[Fe/H],3869,1,1,2016,6.33855761,,,,,,5820.0,0.99,1.0,-0.03,4.45,1285.59,15.1735
Kepler-894 b,Kepler-894,Transit,Kepler,,[Fe/H],3870,1,1,2016,9.803224,,,,,,5603.0,0.85,0.87,-0.25,4.53,1162.91,15.4056
Kepler-895 b,Kepler-895,Transit,Kepler,,[Fe/H],3871,1,1,2016,2.80624233,,,,,,4315.0,0.61,0.65,-0.16,4.67,540.134,15.9804
Kepler-896 b,Kepler-896,Transit,Kepler,,[Fe/H],3872,1,1,2016,144.547396,,,,,,5262.0,0.81,0.84,-0.1,4.56,2334.93,15.4307
Kepler-897 b,Kepler-897,Transit,Kepler,,[Fe/H],3873,1,1,2016,8.0472642,,,,,,5839.0,1.04,1.03,0.04,4.41,1519.25,15.0787
Kepler-898 b,Kepler-898,Transit,Kepler,,[Fe/H],3874,1,1,2016,5.8706191,,,,,,4223.0,0.62,0.65,-0.06,4.66,484.891,15.9386
Kepler-899 b,Kepler-899,Transit,Kepler,,[Fe/H],3875,1,1,2016,19.17891293,,,,,,5595.0,0.91,0.93,-0.06,4.49,1246.43,15.382
Kepler-9 b,Kepler-9,Transit,Kepler,,[Fe/H],3876,1,3,2010,19.23891,0.143,43.4,0.0609,,,5774.0,0.96,1.02,0.05,4.49,628.257,13.7809
Kepler-9 c,Kepler-9,Transit,Kepler,,[Fe/H],3877,1,3,2010,38.9853,0.227,29.9,0.06691,,,5774.0,0.96,1.02,0.05,4.49,628.257,13.7809
Kepler-9 d,Kepler-9,Transit,Kepler,,[Fe/H],3878,1,3,2010,1.592851,0.0273,,,,2026.0,5777.0,1.02,1.07,0.12,4.49,628.257,13.7809
Kepler-90 i,KOI-351,Transit,Kepler,,[M/H],3879,1,8,2017,14.44912,,,,,709.0,6015.0,1.29,1.12,0.098,4.27,848.254,13.7397
Kepler-900 b,Kepler-900,Transit,Kepler,,[Fe/H],3880,1,1,2016,6.9913086,,,,,,4836.0,0.73,0.78,-0.01,4.6,487.525,14.9453
Kepler-901 b,Kepler-901,Transit,Kepler,,[Fe/H],3881,1,1,2016,3.51749439,,,,,,4184.0,0.57,0.59,-0.3,4.7,253.867,14.6803
Kepler-902 b,Kepler-902,Transit,Kepler,,[Fe/H],3882,1,1,2016,40.1099547,,,,,,5647.0,0.93,0.95,0.0,4.49,1165.34,14.8583
Kepler-903 b,Kepler-903,Transit,Kepler,,[Fe/H],3883,1,2,2016,10.3507721,,,,,,5682.0,0.97,0.98,0.05,4.46,1369.24,14.615
Kepler-903 c,Kepler-903,Transit,Kepler,,[Fe/H],3884,1,2,2016,62.9228557,,,,,,5682.0,0.97,0.98,0.05,4.46,1369.24,14.615
Kepler-904 b,Kepler-904,Transit,Kepler,,[Fe/H],3885,1,1,2016,3.02166863,,,,,,6160.0,1.25,1.16,0.05,4.31,978.125,14.3921
Kepler-905 b,Kepler-905,Transit,Kepler,,[Fe/H],3886,1,1,2016,5.08274652,,,,,,5461.0,0.86,0.95,0.09,4.55,529.268,13.9504
Kepler-906 b,Kepler-906,Transit,Kepler,,[Fe/H],3887,1,1,2016,41.6979976,,,,,,6035.0,1.02,1.06,-0.09,4.45,757.791,13.918
Kepler-907 b,Kepler-907,Transit,Kepler,,[Fe/H],3888,1,1,2016,15.86621821,,,,,,6106.0,1.38,1.08,-0.15,4.19,,11.4623
Kepler-908 b,Kepler-908,Transit,Kepler,,[Fe/H],3889,3,1,2016,1.34059747,,,,,,5973.0,1.12,1.11,0.15,4.38,290.843,11.465
Kepler-909 b,Kepler-909,Transit,Kepler,,[Fe/H],3890,1,1,2016,13.93290318,,,,,,6154.0,1.23,1.17,0.08,4.33,309.596,11.5096
Kepler-91 b,Kepler-91,Transit,Kepler,,[Fe/H],3891,1,1,2013,6.24658,0.0731,257.4423,,,2040.0,4550.0,6.3,1.31,0.11,2.95,1294.69,12.4762
Kepler-910 b,Kepler-910,Transit,Kepler,,[Fe/H],3892,1,1,2016,2.36436901,,,,,,6230.0,1.5,1.26,0.12,4.19,400.289,11.5286
Kepler-911 b,Kepler-911,Transit,Kepler,,[Fe/H],3893,1,1,2016,20.310501,,,,,,6112.0,1.99,1.34,0.03,3.97,556.168,11.8295
Kepler-912 b,Kepler-912,Transit,Kepler,,[Fe/H],3894,1,1,2016,2.53475627,,,,,,5998.0,1.11,1.07,0.02,4.37,2004.72,15.3262
Kepler-913 b,Kepler-913,Transit,Kepler,,[Fe/H],3895,1,1,2016,10.29672521,,,,,,4687.0,0.61,0.63,-0.52,4.67,991.618,15.7385
Kepler-914 b,Kepler-914,Transit,Kepler,,[Fe/H],3896,1,1,2016,4.40966548,,,,,,5877.0,1.15,1.1,0.22,4.36,753.723,13.5481
Kepler-915 b,Kepler-915,Transit,Kepler,,[Fe/H],3897,1,1,2016,4.59489604,,,,,,6173.0,1.38,1.21,0.08,4.24,849.036,13.2408
Kepler-916 b,Kepler-916,Transit,Kepler,,[Fe/H],3898,1,1,2016,32.2968798,,,,,,5248.0,0.81,0.85,-0.05,4.56,830.712,15.1752
Kepler-917 b,Kepler-917,Transit,Kepler,,[Fe/H],3899,1,1,2016,2.97041437,,,,,,5418.0,0.76,0.8,-0.38,4.58,3460.51,15.8533
Kepler-918 b,Kepler-918,Transit,Kepler,,[Fe/H],3900,1,1,2016,4.85386933,,,,,,6028.0,1.14,1.11,0.06,4.37,1025.03,14.9546
Kepler-919 b,Kepler-919,Transit,Kepler,,[Fe/H],3901,1,1,2016,11.04603384,,,,,,6113.0,1.21,1.15,0.07,4.33,1119.87,14.6785
Kepler-92 b,Kepler-92,Transit,Kepler,,,3902,1,3,2013,13.749,,64.3,,,,,1.7,1.21,,4.05,477.992,11.7451
Kepler-92 c,Kepler-92,Transit,Kepler,,,3903,1,3,2013,26.723,,6.1,,,,,1.7,1.21,,4.05,477.992,11.7451
Kepler-92 d,Kepler-92,Transit,Kepler,,[M/H],3904,1,3,2015,49.3568,,,0.07,,,5904.34,1.82,1.07,0.138,3.95,477.992,11.7451
Kepler-920 b,Kepler-920,Transit,Kepler,,[Fe/H],3905,1,2,2016,6.53192704,,,,,,5403.0,0.85,0.89,0.0,4.54,1001.68,15.2681
Kepler-920 c,Kepler-920,Transit,Kepler,,[Fe/H],3906,1,2,2016,100.8274113,,,,,,5403.0,0.85,0.89,0.0,4.54,1001.68,15.2681
Kepler-921 b,Kepler-921,Transit,Kepler,,[Fe/H],3907,1,1,2016,51.300634,,,,,,5663.0,0.91,0.93,-0.12,4.5,934.49,14.7055
Kepler-922 b,Kepler-922,Transit,Kepler,,[Fe/H],3908,1,1,2016,0.93846683,,,,,,5671.0,0.93,0.95,-0.05,4.48,536.323,13.745
Kepler-923 b,Kepler-923,Transit,Kepler,,[Fe/H],3909,1,1,2016,6.93366476,,,,,,5988.0,1.26,1.11,0.07,4.28,1000.28,14.0117
Kepler-924 b,Kepler-924,Transit,Kepler,,[Fe/H],3910,1,1,2016,61.0370117,,,,,,6167.0,1.23,1.14,0.01,4.32,1053.04,14.1368
Kepler-925 b,Kepler-925,Transit,Kepler,,[Fe/H],3911,1,1,2016,33.8678531,,,,,,4673.0,0.72,0.77,0.12,4.62,611.115,15.8155
Kepler-926 b,Kepler-926,Transit,Kepler,,[Fe/H],3912,1,1,2016,52.0688601,,,,,,5806.0,1.01,1.01,0.03,4.43,921.361,14.2595
Kepler-927 b,Kepler-927,Transit,Kepler,,[Fe/H],3913,1,1,2016,9.1149903,,,,,,5743.0,0.99,0.99,0.03,4.45,831.685,14.6011
Kepler-928 b,Kepler-928,Transit,Kepler,,[Fe/H],3914,1,1,2016,3.9324613,,,,,,4700.0,0.7,0.73,-0.11,4.62,508.809,15.3227
Kepler-929 b,Kepler-929,Transit,Kepler,,[Fe/H],3915,1,1,2016,0.92103214,,,,,,5869.0,1.02,1.01,-0.04,4.42,1311.23,14.5038
Kepler-93 b,Kepler-93,Transit,Kepler,,[Fe/H],3916,1,2,2014,4.72674,,4.54426,0.0,,,5669.0,0.98,1.09,-0.18,4.47,95.9115,9.86249
Kepler-93 c,Kepler-93,Radial Velocity,W. M. Keck Observatory,,[Fe/H],3917,1,2,2014,1460.0,,954.0,,,,5669.0,0.92,0.91,-0.18,4.47,95.9115,9.86249
Kepler-930 b,Kepler-930,Transit,Kepler,,[Fe/H],3918,1,1,2016,71.4517775,,,,,,6335.0,1.4,1.25,0.04,4.24,848.396,13.7625
Kepler-931 b,Kepler-931,Transit,Kepler,,[Fe/H],3919,1,1,2016,8.03755877,,,,,,5241.0,0.81,0.86,-0.01,4.55,,14.488
Kepler-932 b,Kepler-932,Transit,Kepler,,[Fe/H],3920,1,1,2016,1.9214374,,,,,,5331.0,0.84,0.87,-0.01,4.54,465.612,14.136
Kepler-933 b,Kepler-933,Transit,Kepler,,[Fe/H],3921,1,1,2016,14.20443009,,,,,,5346.0,0.84,0.87,-0.02,4.54,1017.2,15.4379
Kepler-934 b,Kepler-934,Transit,Kepler,,[Fe/H],3922,1,1,2016,55.6738309,,,,,,5001.0,0.77,0.81,0.01,4.59,608.738,15.0341
Kepler-935 b,Kepler-935,Transit,Kepler,,[Fe/H],3923,1,1,2016,4.88083852,,,,,,4830.0,0.73,0.78,-0.01,4.61,471.782,14.9002
Kepler-936 b,Kepler-936,Transit,Kepler,,[Fe/H],3924,1,1,2016,10.56134221,,,,,,5482.0,0.89,0.92,0.05,4.51,823.399,14.7886
Kepler-937 b,Kepler-937,Transit,Kepler,,[Fe/H],3925,1,2,2016,67.668827,,,,,,6095.0,1.22,1.15,0.08,4.32,1571.46,15.1944
Kepler-937 c,Kepler-937,Transit,Kepler,,[Fe/H],3926,1,2,2016,153.343364,,,,,,6095.0,1.22,1.15,0.08,4.32,1571.46,15.1944
Kepler-938 b,Kepler-938,Transit,Kepler,,[Fe/H],3927,1,1,2016,52.6298417,,,,,,5533.0,0.89,0.92,-0.03,4.51,1182.05,
Kepler-939 b,Kepler-939,Transit,Kepler,,[Fe/H],3928,1,1,2016,14.878296,,,,,,5471.0,0.85,0.88,-0.12,4.54,2093.62,15.5197
Kepler-94 b,Kepler-94,Transit,Kepler,,[Fe/H],3929,1,2,2014,2.50806,,10.84,,,,4781.0,0.76,0.81,0.34,4.59,191.904,12.8567
Kepler-94 c,Kepler-94,Radial Velocity,W. M. Keck Observatory,,[Fe/H],3930,1,2,2014,820.3,,3126.0,,,,4781.0,0.76,0.81,0.34,4.59,191.904,12.8567
Kepler-940 b,Kepler-940,Transit,Kepler,,[Fe/H],3931,1,1,2016,59.6225257,,,,,,5769.0,0.96,0.97,-0.08,4.47,1260.78,15.4975
Kepler-941 b,Kepler-941,Transit,Kepler,,[Fe/H],3932,1,1,2016,17.42395198,,,,,,5539.0,0.86,0.89,-0.15,4.53,1088.36,15.5723
Kepler-942 b,Kepler-942,Transit,Kepler,,[Fe/H],3933,1,1,2016,44.96417488,,,,,,4861.0,0.75,0.81,0.09,4.59,216.354,13.0663
Kepler-943 b,Kepler-943,Transit,Kepler,,[Fe/H],3934,1,1,2016,49.7701438,,,,,,5612.0,0.91,0.93,-0.07,4.5,2300.53,15.6387
Kepler-944 b,Kepler-944,Transit,Kepler,,[Fe/H],3935,1,1,2016,43.3167737,,,,,,5409.0,0.83,0.86,-0.11,4.54,1349.43,15.7109
Kepler-945 b,Kepler-945,Transit,Kepler,,[Fe/H],3936,1,1,2016,31.0033814,,,,,,5718.0,0.97,0.97,-0.01,4.46,1651.25,15.8596
Kepler-946 b,Kepler-946,Transit,Kepler,,[Fe/H],3937,1,1,2016,11.79162572,,,,,,5665.0,0.93,0.94,-0.09,4.47,1137.29,14.9234
Kepler-947 b,Kepler-947,Transit,Kepler,,[Fe/H],3938,1,1,2016,26.9644317,,,,,,5508.0,0.87,0.9,-0.07,4.52,1730.78,15.7517
Kepler-948 b,Kepler-948,Transit,Kepler,,[Fe/H],3939,1,1,2016,7.76846622,,,,,,5679.0,0.94,0.96,-0.02,4.47,868.017,14.7858
Kepler-949 b,Kepler-949,Transit,Kepler,,[Fe/H],3940,1,1,2016,8.6893073,,,,,,5403.0,0.86,0.89,0.01,4.53,486.105,14.5084
Kepler-95 b,Kepler-95,Transit,Kepler,,[Fe/H],3941,1,1,2014,11.5231,,13.0,,,,5699.0,1.41,1.08,0.3,4.17,445.656,12.3044
Kepler-950 b,Kepler-950,Transit,Kepler,,[Fe/H],3942,1,1,2016,98.7180406,,,,,,5857.0,1.02,1.02,0.02,4.44,2161.6,15.6813
Kepler-951 b,Kepler-951,Transit,Kepler,,[Fe/H],3943,2,1,2016,71.52530845,,,,,,4834.0,0.73,0.77,-0.01,4.6,382.509,14.4908
Kepler-952 b,Kepler-952,Transit,Kepler,,[Fe/H],3944,1,1,2016,130.3546919,,,,,,5730.0,0.99,1.0,0.06,4.45,1304.25,15.1882
Kepler-953 b,Kepler-953,Transit,Kepler,,[Fe/H],3945,1,2,2016,88.40655258,,,,,,5416.0,0.99,0.95,0.26,4.42,258.893,12.1425
Kepler-953 c,Kepler-953,Transit,Kepler,,[Fe/H],3946,1,2,2016,9.10967112,,,,,,5416.0,0.99,0.95,0.26,4.42,258.893,12.1425
Kepler-954 b,Kepler-954,Transit,Kepler,,[Fe/H],3947,1,1,2016,16.78176602,,,,,,4990.0,0.76,0.82,0.02,4.59,215.814,12.9432
Kepler-955 b,Kepler-955,Transit,Kepler,,[Fe/H],3948,1,1,2016,14.53244172,,,,,,5350.0,0.84,0.89,0.02,4.54,550.383,14.6273
Kepler-956 b,Kepler-956,Transit,Kepler,,[Fe/H],3949,1,1,2016,5.24867263,,,,,,6040.0,1.15,1.1,0.02,4.36,544.939,13.2889
Kepler-957 b,Kepler-957,Transit,Kepler,,[Fe/H],3950,1,1,2016,5.90741354,,,,,,4963.0,0.75,0.81,-0.01,4.6,824.688,15.6906
Kepler-958 b,Kepler-958,Transit,Kepler,,[Fe/H],3951,1,1,2016,9.7678805,,,,,,5421.0,0.86,0.91,0.01,4.53,449.773,13.7299
Kepler-959 b,Kepler-959,Transit,Kepler,,[Fe/H],3952,1,1,2016,14.80074836,,,,,,7005.0,2.01,1.6,0.02,4.04,807.729,12.466
Kepler-96 b,Kepler-96,Transit,Kepler,,[Fe/H],3953,1,1,2014,16.2385,,8.46,,,,5690.0,1.02,1.0,0.04,4.42,122.881,10.2971
Kepler-960 b,Kepler-960,Transit,Kepler,,[Fe/H],3954,1,1,2016,3.12686223,,,,,,4755.0,0.72,0.77,0.02,4.61,284.916,13.8413
Kepler-961 b,Kepler-961,Transit,Kepler,,[Fe/H],3955,1,1,2016,16.87727414,,,,,,5582.0,0.9,0.96,0.05,4.51,574.314,14.043
Kepler-962 b,Kepler-962,Transit,Kepler,,[Fe/H],3956,1,1,2016,12.05707239,,,,,,5478.0,0.86,0.93,0.01,4.54,411.486,13.558
Kepler-963 b,Kepler-963,Transit,Kepler,,[Fe/H],3957,1,1,2016,9.97683705,,,,,,5461.0,0.87,0.91,-0.02,4.52,771.494,14.9116
Kepler-964 b,Kepler-964,Transit,Kepler,,[Fe/H],3958,1,1,2016,13.5225106,,,,,,5427.0,0.84,0.93,0.03,4.55,454.626,13.9025
Kepler-965 b,Kepler-965,Transit,Kepler,,[Fe/H],3959,1,1,2016,134.2527298,,,,,,5886.0,1.15,1.05,0.03,4.33,582.828,13.3334
Kepler-966 b,Kepler-966,Transit,Kepler,,[Fe/H],3960,1,1,2016,99.747622,,,,,,5840.0,1.02,1.02,0.04,4.43,1027.8,14.4435
