Nazwa Planety,Gospodarz Planety,Metoda Odkrycia,Instytucja Odkrywająca,Typ Spektralny,Stosunek Metaliczności Gwiazdy,Nr,Liczba Gwiazd,Liczba Planet,Rok Odkrycia,Okres Orbitalny (dni),Pół Oś Orbity,Masa,Mimośród,Strumień Insolacji,Temperatura Równowagi,Efektywna Temperatura Gwiazdy,Promień Gwiazdy,Masa Gwiazdy,Metaliczność Gwiazdy,Grawitacja Powierzchniowa Gwiazdy,Odległość,Wielkość Magnitudo (Gaia)
HD 65216 b,HD 65216,Radial Velocity,La Silla Observatory,,,957,3,2,2003,577.6,1.301,411.58985,0.27,,,5612.0,,0.87,,4.44,35.1205,7.7943
HD 65216 c,HD 65216,Radial Velocity,La Silla Observatory,,,958,3,2,2013,5370.0,5.75,645.1949,0.17,,,5612.0,,0.87,,4.44,35.1205,7.7943
HD 66141 b,HD 66141,Radial Velocity,Bohyunsan Optical Astronomical Observatory,K2 III,[Fe/H],959,1,1,2012,480.5,1.2,1906.9,0.07,,,4323.0,21.4,1.1,-0.323,1.78,68.1509,3.97926
HD 66428 b,HD 66428,Radial Velocity,W. M. Keck Observatory,,[Fe/H],960,1,2,2005,2263.12,3.467,1018.32732,0.493,,,5773.0,1.1,1.08,0.23,4.36,53.2817,8.08142
HD 66428 c,HD 66428,Radial Velocity,Multiple Observatories,,[Fe/H],961,1,2,2021,39000.0,23.0,8581.36699,0.32,,,5647.6,1.17,1.05,0.271,4.32,53.2817,8.08142
HD 67087 b,HD 67087,Radial Velocity,Multiple Observatories,F8 V,[Fe/H],962,1,2,2015,352.2,1.08,973.0,0.17,,,6330.0,1.55,1.36,0.25,4.19,76.5217,7.92235
HD 67087 c,HD 67087,Radial Velocity,Multiple Observatories,F8 V,[Fe/H],963,1,2,2015,2374.0,3.86,1540.0,0.76,,,6330.0,1.55,1.36,0.25,4.19,76.5217,7.92235
HD 6718 b,HD 6718,Radial Velocity,La Silla Observatory,,[Fe/H],964,1,1,2009,2496.0,3.55,533.9544,0.1,,,5801.0,0.95,1.08,-0.03,4.51,51.3444,8.28147
HD 68402 b,HD 68402,Radial Velocity,Multiple Observatories,G5 IV/V,[Fe/H],965,1,1,2016,1103.0,2.18,975.7381,0.03,,,5950.0,1.02,1.12,0.29,4.47,78.4293,8.95443
HD 68988 b,HD 68988,Radial Velocity,Multiple Observatories,,[Fe/H],966,1,2,2001,6.27711,0.07,626.1251,0.12,,,5932.0,1.19,1.28,0.35,4.4,60.8447,8.04611
HD 68988 c,HD 68988,Radial Velocity,Multiple Observatories,,[Fe/H],967,1,2,2021,16000.0,13.2,4767.4261,0.45,,,5883.41,1.26,1.17,0.305,4.31,60.8447,8.04611
HD 69830 b,HD 69830,Radial Velocity,La Silla Observatory,,[Fe/H],968,1,3,2006,8.667,0.0785,10.2,0.1,,,5385.0,,0.86,-0.05,,12.5591,5.75392
HD 69830 c,HD 69830,Radial Velocity,La Silla Observatory,,[Fe/H],969,1,3,2006,31.56,0.186,11.8,0.13,,,5385.0,,0.86,-0.05,,12.5591,5.75392
HD 69830 d,HD 69830,Radial Velocity,La Silla Observatory,,[Fe/H],970,1,3,2006,197.0,0.63,18.1,0.07,,,5385.0,,0.86,-0.05,,12.5591,5.75392
HD 70573 b,HD 70573,Radial Velocity,La Silla Observatory,G1-1.5 V,[Fe/H],971,1,1,2007,851.8,1.76,1900.0,0.4,,,5737.0,,1.0,-0.18,4.59,59.182,8.54261
HD 70642 b,HD 70642,Radial Velocity,Anglo-Australian Telescope,,[Fe/H],972,1,1,2003,2124.54,3.318,633.43519,0.175,,,5732.0,0.98,1.08,0.22,4.46,29.276,6.99211
HD 7199 b,HD 7199,Radial Velocity,La Silla Observatory,,[Fe/H],973,1,1,2011,615.0,1.36,85.8141,0.19,,,5371.0,0.97,0.77,0.32,4.35,36.1531,7.83743
HD 72490 b,HD 72490,Transit,W. M. Keck Observatory,,,974,1,1,2018,858.0,1.88,561.92344,0.124,,,4934.0,4.96,1.21,,3.21,126.339,7.57415
HD 72659 b,HD 72659,Radial Velocity,W. M. Keck Observatory,,[Fe/H],975,1,1,2002,3658.0,4.75,1223.6455,0.22,,,5932.0,1.46,1.43,-0.02,4.27,51.8949,7.3107
HD 72892 b,HD 72892,Radial Velocity,Multiple Observatories,G5 V,[Fe/H],976,1,1,2016,39.475,0.228,1732.1735,0.423,,,5688.0,1.22,1.02,0.25,4.27,69.7311,8.6469
HD 73267 b,HD 73267,Radial Velocity,La Silla Observatory,,[Fe/H],977,1,1,2008,1245.36,2.187,984.31951,0.23,,,5387.0,0.91,0.9,0.07,4.45,50.4093,8.67835
HD 73526 b,HD 73526,Radial Velocity,Anglo-Australian Telescope,,[Fe/H],978,1,2,2002,188.3,0.65,978.9164,0.19,,,5601.0,1.53,1.14,0.22,4.12,97.2396,8.79682
HD 73526 c,HD 73526,Radial Velocity,Anglo-Australian Telescope,,,979,1,2,2005,379.1,1.03,715.09,0.28,,,,,1.01,,,97.2396,8.79682
HD 73534 b,HD 73534,Radial Velocity,W. M. Keck Observatory,,,980,1,1,2008,1750.0,2.99,353.42696,0.126,,,4917.0,2.58,1.16,,3.6,83.3321,7.95707
HD 74156 b,HD 74156,Radial Velocity,Haute-Provence Observatory,G0,[Fe/H],981,1,2,2003,51.645,0.292,572.07,0.627,,,6068.0,,1.24,0.11,,57.603,7.46934
HD 74156 c,HD 74156,Radial Velocity,Haute-Provence Observatory,G0,[Fe/H],982,1,2,2003,2473.0,3.85,2561.6,0.432,,,6068.0,,1.24,0.11,,57.603,7.46934
HD 7449 b,HD 7449,Radial Velocity,La Silla Observatory,,,983,2,1,2011,1255.5,2.38,161.45764,0.92,,,6024.0,,1.05,,4.51,38.662,7.34996
HD 75289 b,HD 75289,Radial Velocity,La Silla Observatory,,[Fe/H],984,2,1,1999,3.50927,0.05,155.7367,0.03,,,6117.0,1.23,1.29,0.26,4.37,29.1158,6.21047
HD 75784 b,HD 75784,Radial Velocity,W. M. Keck Observatory,,,985,1,2,2014,341.2,1.032,317.83,0.097,,,4867.0,3.4,1.26,,3.46,85.4321,7.5599
HD 75784 c,HD 75784,Radial Velocity,W. M. Keck Observatory,,,986,1,2,2018,7900.0,8.4,1792.5612,0.489,,,4867.0,3.4,1.26,,3.46,85.4321,7.5599
HD 75898 b,HD 75898,Radial Velocity,W. M. Keck Observatory,G0,[Fe/H],987,1,1,2007,422.9,1.191,861.3193,0.11,,,5963.0,1.58,1.26,0.28,,78.0505,7.89597
HD 76700 b,HD 76700,Radial Velocity,Anglo-Australian Telescope,,[Fe/H],988,1,1,2002,3.97097,0.05,66.7443,0.09,,,5644.0,1.37,0.99,0.31,4.16,60.8831,7.97348
HD 76920 b,HD 76920,Radial Velocity,Multiple Observatories,K1 III,[Fe/H],989,1,1,2017,415.4,1.149,1249.0719,0.856,,,4698.0,7.47,1.17,-0.11,2.94,184.031,7.5144
HD 77338 b,HD 77338,Radial Velocity,La Silla Observatory,,[Fe/H],990,1,1,2012,5.7361,0.06,19.0698,0.09,,,5341.0,0.97,1.37,0.32,4.6,45.935,8.40992
HD 7924 b,HD 7924,Radial Velocity,W. M. Keck Observatory,,[Fe/H],991,1,3,2008,5.39792,0.06,6.3566,0.06,,,5131.0,0.78,0.65,-0.21,4.46,16.9922,6.92516
HD 7924 c,HD 7924,Radial Velocity,W. M. Keck Observatory,K0.5 V,[Fe/H],992,1,3,2015,15.299,0.1134,7.86,0.098,28.35,584.0,5075.0,0.78,0.83,-0.15,4.59,16.9922,6.92516
